기간,기간,실적,실적,실적,실적,실적,실적,실적,실적,실적,실적,전망,전망,전망,전망,전망,전망,전망,전망,전망,전망
기간,기간,전체,기업규모별,기업규모별,업종별,업종별,업종별,업종별,업종별,업종별,업종별,전체,기업규모별,기업규모별,업종별,업종별,업종별,업종별,업종별,업종별,업종별
기간,기간,전체,소기업,소상공인,제조업,건설업,도소매업,숙박 및 음식점업,출판 영상 방송통신 및 정보서비스업,전문 과학 및 기술 서비스업,기타,전체,소기업,소상공인,제조업,건설업,도소매업,숙박 및 음식점업,출판 영상 방송통신 및 정보서비스업,전문 과학 및 기술 서비스업,기타
2012.4/4,구분,55.5,61.1,54.1,57.4,59.6,55,52.4,57.6,57.6,56.8,-,-,-,-,-,-,-,-,-,-
2013.1/4,구분,61.5,69.4,59.6,70.2,80.3,56,58.7,93.1,77.3,53.3,69,76.1,67.3,72.1,73.5,67.4,66.6,79.9,69,70.2
2013.2/4,구분,63.6,68.5,62.3,65.3,66.4,64.2,54.1,83.1,66,66.1,71.8,85,68.5,85.6,90.7,64.7,70.9,110.1,79,60.8
2013.3/4,구분,63.3,70.8,61.4,68.9,65.7,60.3,56.9,75.2,69.5,69.8,77.4,85.1,75.5,85.4,78.8,75.4,71.2,103.5,85.9,73.3
2013.4/4,구분,63.4,67.3,62.5,62.2,74.9,63.7,53.9,86.8,71.1,64.7,79.6,80.8,79.3,85,69.3,77.2,81,82.9,80.6,81.9
2014.1/4,구분,61.7,61.2,61.8,65.5,69.5,58.5,58.9,60.1,65.6,63.7,78.6,84.1,77.2,82.9,83.4,82,64.8,89.1,76,77.3
2014.2/4,구분,67.3,75,63.4,65.1,79.3,64.6,52.6,75.7,72.2,74.4,80.3,81.9,80,85.5,85.6,79,77.7,82,86.4,78
2014.3/4,구분,68.3,74.1,65.4,66.2,76.3,66.4,58.4,75,77.4,71.6,84.5,92.5,80.5,87.1,92.9,82.9,74.3,91.9,87.5,86.7
2014.4/4,구분,69.4,77,65.6,70.7,71.1,67.5,64,79.7,83.1,67.7,87.5,91.8,85.3,87.4,97.4,82.1,85.1,95.5,92.5,90.1
2015.1/4,구분,65.9,68.3,64.8,67.1,71.1,65.3,57.2,74,71.2,65.6,81.1,83,80.2,83.5,75.7,80.7,73.8,88.4,85.7,83.2
2015.2/4,구분,76.4,83.4,72.9,80.7,89.1,75.7,61.4,81.8,77.6,77.3,94.6,96.2,93.7,94.9,100.4,95.1,88.6,104.3,92.3,93.6
2015.3/4,구분,72,78.3,68.9,70.4,79.9,69.2,62.6,76.6,87.6,72.4,87.6,92.7,85.1,88.2,101.7,85.1,79,90,89.4,88.8
2015.4/4,구분,80.2,88.6,76,76.5,87.9,71,69.8,90,78.2,89.3,87.9,93.7,85,88.3,88.5,89.3,84.1,94.1,94.9,85.3
2016.1/4,구분,69.4,73.3,67.4,68.4,74.1,65.5,50.9,79.5,72.1,76.4,86.2,91.5,83.6,82.6,92.5,82.7,74.3,92.4,84.7,93.1
2016.2/4,구분,72.9,76.2,71.3,73.2,82.2,68.6,62.7,76.9,89.8,73.4,89.6,92.5,88.2,86.9,93.7,89.7,79.7,96.9,87.2,93.1
2016.3/4,구분,74.7,82.8,70.7,68,82.8,65.4,65.3,79.5,83.1,82.3,81.2,86.1,78.7,79.2,90.8,77.4,68.7,94.4,91.1,82.6
2016.4/4,구분,69.9,74.1,67.8,67,75.7,64.8,55.9,90.7,82.6,71.8,82.9,90.4,79.2,79.3,87.7,71.4,76.3,87.6,92.4,90
2017.1/4,구분,67.7,75.8,64.4,60.8,69.4,66.2,69.3,67.7,75.3,67.5,71.4,72,71.1,63.8,85,70.5,57.1,85.9,80.2,73.1
2017.2/4,구분,69.5,76.6,66.7,66.2,75.6,65.6,62.6,78,74.7,70.9,84.3,88.5,82.6,78.9,88.4,82.6,81.9,84.9,88.4,85.3
2017.3/4,구분,68.4,76.3,65.3,66.2,73.3,65.6,58.1,79.9,80.8,68.8,78.1,83.1,76.1,75.6,84.9,76.2,70.1,89.4,84.6,78.3
2017.4/4,구분,71,80.6,67.2,65.1,79.6,74.9,56.3,82.1,82.4,70.6,79,85.4,76.5,76.3,77.8,82.6,76.1,85.4,89.5,76.8
