기간,임대료,지역
2013,69.5,광화문
2014,69,광화문
2015,70.2,광화문
2016,71.3,광화문
2018,70.1,광화문
2013,37.5,동대문
2014,34.8,동대문
2015,34.8,동대문
2016,34.8,동대문
2018,36.4,동대문
2013,265.1,명동
2014,271.7,명동
2015,270.1,명동
2016,271.1,명동
2018,257.6,명동
2013,59.9,서울역
2014,60.2,서울역
2015,60.1,서울역
2016,61.6,서울역
2018,87.5,서울역
2013,90.3,종로
2014,90.9,종로
2015,90.2,종로
2016,88.7,종로
2018,84.9,종로
2013,29.1,충무로
2014,29,충무로
2015,29.1,충무로
2016,29.1,충무로
2018,43.7,충무로
2013,128.7,강남대로
2014,135.1,강남대로
2015,136,강남대로
2016,135.5,강남대로
2018,139.2,강남대로
2013,44.1,도산대로
2014,43.1,도산대로
2015,43.2,도산대로
2016,43.2,도산대로
2018,44.8,도산대로
2013,29.5,서초
2014,30.2,서초
2015,30.7,서초
2016,30.9,서초
2018,27.8,서초
2013,79.1,신사
2014,80.6,신사
2015,82,신사
2016,81.8,신사
2018,76.2,신사
2013,50.9,압구정동
2014,52.4,압구정동
2015,52.6,압구정동
2016,52.5,압구정동
2018,56.1,압구정동
2013,69,청담
2014,69,청담
2015,69.6,청담
2016,71.6,청담
2018,66.4,청담
2013,47.1,테헤란로
2014,46.4,테헤란로
2015,46.4,테헤란로
2016,46.1,테헤란로
2018,46.9,테헤란로
2013,37.2,공덕역
2014,37.2,공덕역
2015,39.9,공덕역
2016,40.4,공덕역
2018,42.1,공덕역
2013,59.7,신촌
2014,60.2,신촌
2015,60.4,신촌
2016,58.4,신촌
2018,57.7,신촌
2013,44.3,홍대합정
2014,45.2,홍대합정
2015,47.4,홍대합정
2016,47.3,홍대합정
2018,68.4,홍대합정
2013,49.9,건대입구
2014,50,건대입구
2015,52.1,건대입구
2016,52.6,건대입구
2018,65.1,건대입구
2013,50.8,경희대
2014,49.5,경희대
2015,49.5,경희대
2016,49.3,경희대
2018,44.1,경희대
2013,37.7,군자
2014,36.6,군자
2015,38.4,군자
2016,36.8,군자
2018,29.9,군자
2013,30.2,목동
2014,30.5,목동
2015,30.4,목동
2016,30.5,목동
2018,34.3,목동
2013,50.9,사당
2014,53.5,사당
2015,53.8,사당
2016,54,사당
2018,58.7,사당
2013,41.9,성신여대
2014,41.6,성신여대
2015,41.3,성신여대
2016,41.4,성신여대
2018,43.9,성신여대
2013,59.6,수유
2014,58.6,수유
2015,54.9,수유
2016,55.2,수유
2018,56.1,수유
2013,50.6,신림
2014,52.7,신림
2015,54.1,신림
2016,54.8,신림
2018,72.3,신림
2013,32.6,영등포
2014,33.5,영등포
2015,33.6,영등포
2016,33.7,영등포
,39.2,영등포
2013,23.5,용산
2014,23.8,용산
2015,23.7,용산
2016,23.7,용산
2018,25.1,용산
2013,45.1,이태원
2014,45.1,이태원
2015,46,이태원
2016,46,이태원
2018,47.5,이태원
2013,41.5,잠실
2014,40.6,잠실
2015,40.7,잠실
2016,41.1,잠실
2018,43.5,잠실
2013,26.5,장안동
2014,26.1,장안동
2015,26.1,장안동
2016,26.1,장안동
2018,20.9,장안동
2013,38,천호
2014,38.6,천호
2015,38.6,천호
2016,38.6,천호
2018,35.4,천호
2013,45.1,청량리
2014,43.1,청량리
2015,43.2,청량리
2016,43.5,청량리
2018,46.6,청량리
2013,70.2,혜화동
2014,69.9,혜화동
2015,70.2,혜화동
2016,70.1,혜화동
2018,69.3,혜화동
2013,22.8,화곡
2014,22.8,화곡
2015,23.3,화곡
2016,23.3,화곡
2018,27,화곡
