,지역,지하철 승하차 수,사업체 창업률,사업체 수,지역내총생산
0,강남구,294.2178520075963,-0.10464285714285716,2650.5,2436932.9285714277
1,강동구,167.40435227889313,-0.5139285714285715,183.14285714285714,254832.1071428571
2,강북구,549.9435770482909,-0.4503571428571428,-125.28571428571429,35319.85714285714
3,강서구,199.76197843190457,-0.21107142857142852,851.6071428571428,568781.9642857142
4,관악구,841.459346174715,-0.6075000000000002,48.07142857142858,146639.10714285713
5,광진구,308.7801458220293,-0.5425,8.285714285714285,117758.10714285712
6,구로구,203.95331389039612,-0.28392857142857125,749.142857142857,359123.9285714285
7,금천구,313.951457542051,-0.39857142857142835,904.2857142857141,525510.6785714285
8,노원구,64.43619641888226,-0.4346428571428569,218.14285714285708,175778.1785714285
9,도봉구,280.15508749321754,-0.3025,157.28571428571425,82701.24999999999
10,동대문구,-54.47244302767227,-0.2939285714285716,343.8214285714285,232566.6071428571
11,동작구,-230.03917661421607,-0.1953571428571428,-27.249999999999993,58343.999999999985
12,마포구,339.81833016820394,-0.17321428571428565,1060.7857142857142,682307.0714285712
13,서대문구,138.47981890938686,-0.14,263.67857142857133,285607.64285714284
14,서초구,373.52378594682574,-0.4046428571428572,1242.8214285714284,991281.1071428569
15,성동구,91.77436991318503,0.06821428571428571,640.1071428571427,471473.8214285713
16,성북구,206.77941535539884,-0.5867857142857142,-117.53571428571428,130164.17857142854
17,송파구,245.53640328269134,-0.1710714285714284,611.9285714285712,774448.7499999998
18,양천구,142.18909997287028,-0.48607142857142865,132.10714285714286,97533.49999999997
19,영등포구,-180.2685146500271,-0.34142857142857136,468.2142857142856,646959.1428571427
20,용산구,20.410070537167666,-0.20749999999999993,261.89285714285705,297439.7142857142
21,은평구,207.32338714053176,-0.6589285714285713,261.57142857142856,108216.0357142857
22,종로구,356.3160906131308,-0.2407142857142857,338.07142857142844,729109.3928571428
23,중구,338.932925257732,-0.02857142857142847,361.3214285714284,589932.4999999998
24,중랑구,94.38791372761801,-0.419642857142857,150.28571428571422,114558.32142857142
